01-06-2023 18:29:03 404 - 13.615934ms GET /  Wget -
01-06-2023 18:38:13 404 - 1.957342ms GET /  curl/8.1.2 -
01-06-2023 18:38:14 404 - 1.780947ms GET /  curl/8.1.2 -
01-06-2023 18:38:18 404 - 1.856733ms GET /  curl/8.1.2 -
01-06-2023 18:42:09 404 - 3.003941ms GET /  curl/8.1.2 -
01-06-2023 19:44:23 404 - 5.093487ms GET /  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:24 404 - 634.098µs GET /favicon.ico  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:24 404 - 2.275294ms GET /  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:25 404 - 1.667208ms GET /  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:25 404 - 1.394207ms GET /  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:25 404 - 1.762809ms GET /  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:26 404 - 2.125211ms GET /  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:26 404 - 1.478208ms GET /  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:26 404 - 1.50379ms GET /  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:26 404 - 1.347191ms GET /  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:33 301 - 555.102µs GET /swagger/  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:33 200 - 2.204908ms GET index.html  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:33 200 - 729.902µs GET swagger-ui.css  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:33 200 - 1.009904ms GET swagger-ui-bundle.js  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:33 200 - 1.777007ms GET swagger-ui-standalone-preset.js  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:33 200 - 2.67021ms GET doc.json  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:33 200 - 522.601µs GET favicon-32x32.png  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:44:43 500 - 21.165337ms POST /v1/auth/register  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:48:30 200 - 19.663622ms POST /v1/auth/register  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:48:40 200 - 31.830748ms GET /v1/auth/check  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:48:49 200 - 28.424878ms POST /v1/user/set-profile  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:48:58 200 - 1.739622498s POST /v1/user/set-phone  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:49:20 200 - 1.049522257s POST /v1/user/verify-phone  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:49:27 200 - 28.757799ms GET /v1/auth/check  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:49:45 200 - 314.948704ms POST /v1/rental-house/upload-image  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:50:08 200 - 43.31124ms POST /v1/rental-house/create  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:50:24 200 - 38.739272ms GET /v1/rental-house/d520c8d4-655b-48ea-a5b1-41a86dd33c22  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 19:52:46 400 - 19.437374ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:28:37 400 - 52.702438ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:28:45 400 - 30.641646ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
01-06-2023 20:30:09 400 - 65.469738ms PUT /v1/reservations  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 -
